Count,Tangram,No,correct,,,,,,,,
5,AB,0 ,0.333333333,,,,,,,,
5,AB,1 ,0.666666667,,,,,,,,
5,AB,2 ,0.5,,,,,,,,
5,AC,0 ,0.666666667,,,,,,,,
5,AC,1 ,0.666666667,,,,,,,,
5,AC,2 ,1,,,,,,,,
5,BC,0 ,0.333333333,,,,,,,,
5,BC,1 ,1,,,,,,,,
5,BC,2 ,0.5,,,,,,,,
10,AB,0 ,1,,,,,,,,
10,AB,1 ,1,,,,,,,,
10,AB,2 ,0.666666667,,,,,,,,
10,AC,0 ,0.666666667,,,,,,,,
10,AC,1 ,0.166666667,,,,,,,,
10,AC,2 ,0.333333333,,,,,,,,
10,BC,0 ,0.333333333,,,,,,,,
10,BC,1 ,0.666666667,,,,,,,,
10,BC,2 ,0.333333333,,,,,,,,
15,AB,0 ,1,,,,,,,,
15,AB,1 ,0.666666667,,,,,,,,
15,AB,2 ,0.666666667,,,,,,,,
15,AC,0 ,0.5,,,,,,,,
15,AC,1 ,1,,,,,,,,
15,AC,2 ,0.666666667,,,,,,,,
15,BC,0 ,1,,,,,,,,
15,BC,1 ,0.666666667,,,,,,,,
15,BC,2 ,1,,,,,,,,
20,AB,0 ,1,,,,,,,,
20,AB,1 ,0.666666667,,,,,,,,
20,AB,2 ,1,,,,,,,,
20,AC,0 ,0.666666667,,,,,,,,
20,AC,1 ,1,,,,,,,,
20,AC,2 ,0.666666667,,,,,,,,
20,BC,0 ,0.333333333,,,,,,,,
20,BC,1 ,0.666666667,,,,,,,,
20,BC,2 ,0.166666667,,,,,,,,
25,AB,0 ,1,,,,,,,,
25,AB,1 ,1,,,,,,,,
25,AB,2 ,1,,,,,,,,
25,AC,0 ,0.666666667,,,,,,,,
25,AC,1 ,1,,,,,,,,
25,AC,2 ,1,,,,,,,,
25,BC,0 ,1,,,,,,,,
25,BC,1 ,0.666666667,,,,,,,,
25,BC,2 ,1,,,,,,,,
30,AB,0 ,1,,,,,,,,
30,AB,1 ,1,,,,,,,,
30,AB,2 ,1,,,,,,,,
30,AC,0 ,1,,,,,,,,
30,AC,1 ,1,,,,,,,,
30,AC,2 ,1,,,,,,,,
30,BC,0 ,1,,,,,,,,
30,BC,1 ,1,,,,,,,,
30,BC,2 ,1,,,,,,,,
human,AB,2 ,1,,,,,,,,
human,AB,3 ,1,,,,,,,,
human,AB,6 ,1,,,,,,,,
human,AB,9 ,0.333333333,,,,,,,,
human,AB,10 ,1,,,,,,,,
human,AB,11 ,0.666666667,,,,,,,,
human,AB,12 ,1,,,,,,,,
human,AB,14 ,1,,,,,,,,
human,AB,17 ,0.666666667,,,,,,,,
human,AB,18 ,0.666666667,,,,,,,,
human,AB,21 ,1,,,,,,,,
human,AB,24 ,0.666666667,,,,,,,,
human,AB,26 ,1,,,,,,,,
human,AB,29 ,1,,,,,,,,
human,AB,30 ,1,,,,,,,,
human,AB,32 ,1,,,,,,,,
human,AB,34 ,1,,,,,,,,
human,AB,36 ,1,,,,,,,,
human,AB,37 ,0,,,,,,,,
human,AB,39 ,0,,,,,,,,
human,AB,41 ,1,,,,,,,,
human,AB,43 ,0.666666667,,,,,,,,
human,AB,45 ,1,,,,,,,,
human,AB,47 ,1,,,,,,,,
human,AB,50 ,0,,,,,,,,
human,AB,51 ,0.666666667,,,,,,,,
human,AB,53 ,1,,,,,,,,
human,AB,56 ,0.333333333,,,,,,,,