text,label,exp
うさぎが跳ねているよう,A1,Holistic
カンガルーの横顔,A1,Holistic
踊っている人,A1,Holistic
翼を広げた鳥,A1,Holistic
走っている動物,A1,Holistic
最上部に上を向いた鋭い三角形の頂点がある,A1,Analytic
下部に右下がりの平行四辺形がある,A1,Analytic
右側に大きな多角形の膨らみがある,A1,Analytic
左上端に小さな三角形が独立して見える,A1,Analytic
全体的に縦に長い長方形に近い構成である,A1,Analytic
寝そべっている人,A2,Holistic
アザラシが泳いでいるよう,A2,Holistic
飛行機が低空飛行している形,A2,Holistic
崖から落ちそうな動物,A2,Holistic
腹筋運動をしている人,A2,Holistic
中央に垂直な太い軸となる図形がある,A2,Analytic
下部に一本の足のように見える三角形がある,A2,Analytic
上部に左上を向いた大きな多角形がある,A2,Analytic
図形全体が右側に傾斜した動きを持っている,A2,Analytic
正方形の角が本体の角と向かい合っている,A2,Analytic
水面に浮かぶ白鳥,A3,Holistic
翼を休めている鳥,A3,Holistic
魚が口を開けているよう,A3,Holistic
大きな矢印のような形,A3,Holistic
谷間に落ちる影,A3,Holistic
全体的に横方向に長いシルエットである,A3,Analytic
中央部分にV字型の深い谷間がある,A3,Analytic
右端に下を向いた小さな三角形のパーツがある,A3,Analytic
下端の辺が複数の水平な線で構成されている,A3,Analytic
左端の頂点が非常に鋭い角度になっている,A3,Analytic
水面を泳ぐ鳥,B1,Holistic
帆を立てた小舟,B1,Holistic
椅子に深く腰掛けている人,B1,Holistic
尻尾を立てたリス,B1,Holistic
空飛ぶ絨毯,B1,Holistic
中央に右上がりの長い斜辺を持つパーツがある,B1,Analytic
最下部に右を向いた三角形の土台がある,B1,Analytic
全体的に緩やかなS字を描くシルエットである,B1,Analytic
中央右側の辺が一直線の垂直線になっている,B1,Analytic
左側の中ほどに四角い切り欠きのような空間がある,B1,Analytic
横を向いて泳ぐ魚,B2,Holistic
羽ばたこうとしている鳥,B2,Holistic
矢を番えた弓,B2,Holistic
宇宙船の模型,B2,Holistic
手を広げた人,B2,Holistic
下部にどっしりとした台形に近い土台がある,B2,Analytic
全体的に左右対称に近い構造をしている,B2,Analytic
中央の胴体パーツが最も面積を占めている,B2,Analytic
正方形のパーツが下の図形から少し浮いて配置されている,B2,Analytic
左側の三角形の頂点が左下を指している,B2,Analytic
走っているキツネ,B3,Holistic
跳躍している人,B3,Holistic
翼を畳んだコウモリ,B3,Holistic
滑空しているムササビ,B3,Holistic
斜め上を指す矢印,B3,Holistic
右側に垂直に近い角度で立ち上がるパーツがある,B3,Analytic
中央上部に深いV字の切れ込みがある,B3,Analytic
左下の角が非常に鋭利な鋭角になっている,B3,Analytic
下部全体が右斜め上に向かう傾斜を持っている,B3,Analytic
右上の先端部分が尖った形状をしている,B3,Analytic